Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR_macro,FPR_macro,Precision_macro,AUC_macro,PR-Curve_macro,Training Time (sec),Inference Time (sec)
cloud,ProbabilisticRandomForest,10,"{'keep_proba': 0.07110186533425036, 'max_depth': 4, 'n_estimators_': 40}",0.5,0.357142857,0.642857143,0.3125,0.380952381,0.48555839,0.0944409,0.0057871
cloud,ProbabilisticRandomForest,2,"{'keep_proba': 0.09962064032843182, 'max_depth': 6, 'n_estimators_': 11}",0.727272727,0.604166667,0.395833333,0.638888889,0.5,0.632936508,0.0441885,0.0021694
cloud,ProbabilisticRandomForest,3,"{'keep_proba': 0.04174154966270269, 'max_depth': 7, 'n_estimators_': 33}",0.545454545,0.375,0.625,0.333333333,0.083333333,0.340353686,0.1472689,0.0067014
cloud,ProbabilisticRandomForest,4,"{'keep_proba': 0.08490781170811193, 'max_depth': 4, 'n_estimators_': 11}",0.636363636,0.4375,0.5625,0.35,0.166666667,0.357466781,0.0255979,0.001634
cloud,ProbabilisticRandomForest,5,"{'keep_proba': 0.08578083446885594, 'max_depth': 6, 'n_estimators_': 56}",0.454545455,0.3125,0.6875,0.3125,0.416666667,0.486826975,0.2131993,0.0101826
cloud,ProbabilisticRandomForest,6,"{'keep_proba': 0.08170383092116204, 'max_depth': 6, 'n_estimators_': 24}",0.727272727,0.604166667,0.395833333,0.638888889,0.541666667,0.491511093,0.097587,0.0045355
cloud,ProbabilisticRandomForest,7,"{'keep_proba': 0.06436099015582845, 'max_depth': 7, 'n_estimators_': 34}",0.454545455,0.357142857,0.642857143,0.277777778,0.285714286,0.457555787,0.1578736,0.0072723
cloud,ProbabilisticRandomForest,8,"{'keep_proba': 0.04903059876928881, 'max_depth': 4, 'n_estimators_': 18}",0.636363636,0.5,0.5,0.318181818,0.642857143,0.677618339,0.0396963,0.0025336
cloud,ProbabilisticRandomForest,9,"{'keep_proba': 0.08578083446885594, 'max_depth': 6, 'n_estimators_': 56}",0.5,0.357142857,0.642857143,0.3125,0.428571429,0.492176871,0.2255353,0.0112286
congressional-voting,DNDT,1,"{'cut_count': 7, 'cut_size': 1, 'epochs': 44, 'lr': 0.021601654646823697, 'temprature': 0.7324859433287425, 'num_class': 2}",0.431818182,0.515250545,0.484749455,0.530701754,0.508169935,0.518970855,0.4179467,0.0024896
congressional-voting,DNDT,10,"{'cut_count': 6, 'cut_size': 1, 'epochs': 33, 'lr': 0.0490120614501893, 'temprature': 0.530625448688316, 'num_class': 2}",0.511627907,0.43287037,0.56712963,0.405228758,0.511574074,0.715653356,0.24589,0.0020449
congressional-voting,DNDT,2,"{'cut_count': 4, 'cut_size': 1, 'epochs': 31, 'lr': 0.011244797578973419, 'temprature': 0.029932990781681407, 'num_class': 2}",0.386363636,0.489106754,0.510893246,0.44047619,0.517429194,0.741880287,0.1144413,0.0014569
congressional-voting,DNDT,3,"{'cut_count': 7, 'cut_size': 1, 'epochs': 8, 'lr': 0.023606150355154527, 'temprature': 0.6651738381642068, 'num_class': 2}",0.477272727,0.508714597,0.491285403,0.508928571,0.507625272,0.522985671,0.2285047,0.0024955
congressional-voting,DNDT,4,"{'cut_count': 6, 'cut_size': 1, 'epochs': 25, 'lr': 0.04165395094561918, 'temprature': 0.4565457514278368, 'num_class': 2}",0.477272727,0.388888889,0.611111111,0.276315789,0.481481481,0.71555849,0.1817018,0.0020951
